Router Name,Country Code,Bandwidth (KB/s),Uptime (Days),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit
rfficljt,RU,0,0,94.142.139.64,94.142.139.64,80,None,0,1,1,0,1,0,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Linux i686,0,0
rfSyCDVvXIZLHiD5uL,FR,6,0,88.183.18.44,isa95-2-88-183-18-44.fbx.proxad.net,9001,None,0,0,1,0,1,0,1,1,0,Tor 0.2.2.35 (git-4f42b0a93422f70e) on Linux i686,0,0
RHTOR,NO,74,17,81.167.238.180,180.81-167-238.customer.lyse.net,110,143,0,0,1,1,1,1,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows XP Service Pack 3 [workstation],0,0
ridcully,DE,36,1,188.40.99.69,ridcully.episode-iv.de,9031,None,0,0,1,0,1,0,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Linux x86_64,0,0
Riga,LV,90,14,159.148.27.116,torsrvj.snydernet.net,443,80,0,0,1,0,1,0,1,1,1,Tor 0.2.2.37 (git-fce6eb1c44e87bc2) on Linux x86_64,0,0
Rincewind,GB,6,11,90.202.33.93,5aca215d.bb.sky.com,443,None,0,0,1,0,1,0,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows XP Service Pack 3 [workstation],0,0
Ring0,SE,70,30,94.254.54.225,h-54-225.a258.priv.bahnhof.se,444,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [workstation],0,0
RingThemBells,AT,3029,10,77.244.246.178,ip077244246178.rev.nessus.at,9001,9030,0,0,1,0,1,1,1,1,1,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux i686,0,0
riqochet,DE,144,0,81.169.182.71,riqochet.org,59121,None,0,1,1,1,1,1,1,1,0,Tor 0.2.3.18-rc on Linux,0,0
riseuppad,US,86,12,198.252.153.41,pad.riseup.net,9001,None,0,0,1,1,1,1,1,1,0,Tor 0.2.3.17-beta on Linux,0,0
riseupshell,US,87,1,198.252.153.19,cassowary.riseup.net,9001,None,0,0,1,1,1,1,1,1,0,Tor 0.2.3.18-rc on Linux,0,0
riseupxmpp,US,118,1,198.252.153.63,xmpp.riseup.net,9001,None,0,0,1,1,1,1,1,1,0,Tor 0.2.3.18-rc on Linux,0,0
rittervg,US,27,1,97.107.139.108,ritter.vg,9001,None,0,0,1,0,1,0,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Linux x86_64,0,0
Riviera,FR,1860,4,178.32.244.154,torsrv6.snydernet.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.2.37 (git-fce6eb1c44e87bc2) on Linux x86_64,0,0
rjjbliij,RU,0,0,62.76.44.230,62-76-44-230.clodo.ru,80,None,0,1,1,0,1,0,1,1,0,Tor 0.2.2.32 (git-877e17749725ab88) on Linux i686,0,0
rlomobbq,RU,0,0,188.143.233.89,188.143.233.89,80,None,0,1,1,0,1,0,1,1,0,Tor 0.2.2.33 (git-8522652d8e9213d4) on Linux x86_64,0,0
rlraagll,RU,0,0,77.234.208.64,77.234.208.64,80,None,0,1,1,0,0,0,1,1,0,Tor 0.2.2.36 (git-c1414cf70cbfcbb7) on Linux i686,0,0
RMLAnonSrv2,CH,31,1,84.74.130.222,84-74-130-222.dclient.hispeed.ch,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.3.18-rc on Linux,0,0
RMLAnonSrv3,CH,41,1,80.218.232.138,80-218-232-138.dclient.hispeed.ch,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.37 (git-fce6eb1c44e87bc2) on Windows XP Service Pack 3 [workstation],0,0
RMLAnonSrv4,CH,4,0,85.0.56.110,110-56.0-85.cust.bluewin.ch,9001,9030,0,0,1,0,1,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [workstation],0,0
rmwesboq,RU,0,0,62.76.191.235,62-76-191-235.clodo.ru,80,None,0,1,1,0,0,0,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Linux i686,0,0
Roady,FR,4327,18,37.59.82.50,torsrvg.snydernet.net,443,80,0,1,1,1,1,1,1,1,1,Tor 0.2.2.37 (git-fce6eb1c44e87bc2) on Linux x86_64,0,0
Rodomonte,BG,1,0,82.146.26.186,hst-26-186.medicom.bg,443,None,0,1,1,0,1,0,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows XP Service Pack 3 [workstation],0,0
roflrwafflr,CA,0,0,24.85.42.239,S01066cf04955f781.vc.shawcable.net,9001,None,0,0,1,0,1,0,1,1,0,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux x86_64,0,0
roger,GB,7,0,188.222.194.182,188-222-194-182.zone13.bethere.co.uk,9001,None,0,1,1,1,0,1,1,1,0,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux x86_64,0,0
Rohan,IT,4,29,151.9.135.95,151.9.135.95,9001,9030,0,0,1,0,1,1,1,1,1,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux x86_64,0,0
rollmops,BE,0,0,109.130.83.222,109.130.83.222,9001,None,0,1,0,0,1,0,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Linux ppc64,0,0
ronin,DE,39,10,195.180.11.190,mail.gruebchen.org,9001,9030,0,1,1,1,1,1,1,1,1,Tor 0.2.2.37 (git-fce6eb1c44e87bc2) on OpenBSD i386,0,0
